height,timestamp,difficulty,delta_t
628436,1588351271,15958652328578.42,1470.0
628437,1588352094,15958652328578.42,823.0
628438,1588352735,15958652328578.42,641.0
628439,1588352769,15958652328578.42,34.0
628440,1588353686,15958652328578.42,917.0
628441,1588354948,15958652328578.42,1262.0
628442,1588355233,15958652328578.42,285.0
628443,1588355767,15958652328578.42,534.0
628444,1588355995,15958652328578.42,228.0
628445,1588356021,15958652328578.42,26.0
628446,1588357126,15958652328578.42,1105.0
628447,1588357503,15958652328578.42,377.0
628448,1588358410,15958652328578.42,907.0
628449,1588359086,15958652328578.42,676.0
628450,1588359085,15958652328578.42,0.0
628451,1588359096,15958652328578.42,11.0
628452,1588359417,15958652328578.42,321.0
628453,1588359728,15958652328578.42,311.0
628454,1588359774,15958652328578.42,46.0
628455,1588359767,15958652328578.42,0.0
628456,1588359754,15958652328578.42,0.0
628457,1588360390,15958652328578.42,636.0
628458,1588360460,15958652328578.42,70.0
628459,1588360746,15958652328578.42,286.0
628460,1588360953,15958652328578.42,207.0
628461,1588361011,15958652328578.42,58.0
628462,1588361278,15958652328578.42,267.0
628463,1588363158,15958652328578.42,1880.0
628464,1588363190,15958652328578.42,32.0
628465,1588364953,15958652328578.42,1763.0
628466,1588365838,15958652328578.42,885.0
628467,1588366285,15958652328578.42,447.0
628468,1588366716,15958652328578.42,431.0
628469,1588366837,15958652328578.42,121.0
628470,1588367658,15958652328578.42,821.0
628471,1588367870,15958652328578.42,212.0
628472,1588369173,15958652328578.42,1303.0
628473,1588369508,15958652328578.42,335.0
628474,1588369575,15958652328578.42,67.0
628475,1588370610,15958652328578.42,1035.0
628476,1588371122,15958652328578.42,512.0
628477,1588371150,15958652328578.42,28.0
628478,1588371232,15958652328578.42,82.0
628479,1588371568,15958652328578.42,336.0
628480,1588373314,15958652328578.42,1746.0
628481,1588373335,15958652328578.42,21.0
628482,1588373999,15958652328578.422,664.0
628483,1588374309,15958652328578.42,310.0
628484,1588374433,15958652328578.42,124.0
628485,1588375029,15958652328578.42,596.0
628486,1588375476,15958652328578.42,447.0
628487,1588375522,15958652328578.42,46.0
628488,1588376390,15958652328578.42,868.0
628489,1588377020,15958652328578.42,630.0
628490,1588377423,15958652328578.42,403.0
628491,1588377603,15958652328578.42,180.0
628492,1588377633,15958652328578.42,30.0
628493,1588377688,15958652328578.42,55.0
628494,1588377944,15958652328578.42,256.0
628495,1588377964,15958652328578.42,20.0
628496,1588378037,15958652328578.42,73.0
628497,1588378262,15958652328578.42,225.0
628498,1588378529,15958652328578.42,267.0
628499,1588379997,15958652328578.42,1468.0
628500,1588380046,15958652328578.42,49.0
628501,1588380296,15958652328578.42,250.0
628502,1588380966,15958652328578.42,670.0
628503,1588382386,15958652328578.42,1420.0
628504,1588382787,15958652328578.42,401.0
628505,1588384437,15958652328578.42,1650.0
628506,1588386403,15958652328578.42,1966.0
628507,1588386432,15958652328578.42,29.0
628508,1588386480,15958652328578.42,48.0
628509,1588386689,15958652328578.42,209.0
628510,1588387479,15958652328578.42,790.0
628511,1588387741,15958652328578.42,262.0
628512,1588387974,15958652328578.42,233.0
628513,1588388255,15958652328578.42,281.0
628514,1588388862,15958652328578.42,607.0
628515,1588388945,15958652328578.42,83.0
628516,1588389690,15958652328578.42,745.0
628517,1588389764,15958652328578.42,74.0
628518,1588390172,15958652328578.42,408.0
628519,1588390820,15958652328578.42,648.0
628520,1588390887,15958652328578.42,67.0
628521,1588391556,15958652328578.42,669.0
628522,1588392403,15958652328578.42,847.0
628523,1588393063,15958652328578.42,660.0
628524,1588394552,15958652328578.42,1489.0
628525,1588396205,15958652328578.42,1653.0
628526,1588396479,15958652328578.42,274.0
628527,1588396887,15958652328578.42,408.0
628528,1588397557,15958652328578.42,670.0
628529,1588398905,15958652328578.42,1348.0
628530,1588398972,15958652328578.42,67.0
628531,1588399368,15958652328578.42,396.0
628532,1588401292,15958652328578.42,1924.0
628533,1588402179,15958652328578.42,887.0
628534,1588402374,15958652328578.42,195.0
628535,1588402690,15958652328578.42,316.0
628536,1588404166,15958652328578.42,1476.0
628537,1588404568,15958652328578.42,402.0
628538,1588405004,15958652328578.42,436.0
628539,1588406191,15958652328578.42,1187.0
628540,1588406333,15958652328578.42,142.0
628541,1588407017,15958652328578.42,684.0
628542,1588407500,15958652328578.42,483.0
628543,1588407723,15958652328578.42,223.0
628544,1588407790,15958652328578.42,67.0
628545,1588407849,15958652328578.42,59.0
628546,1588408213,15958652328578.42,364.0
628547,1588408481,15958652328578.42,268.0
628548,1588412324,15958652328578.42,3843.0
628549,1588412624,15958652328578.42,300.0
628550,1588413393,15958652328578.42,769.0
628551,1588413411,15958652328578.42,18.0
628552,1588413586,15958652328578.42,175.0
628553,1588414534,15958652328578.42,948.0
628554,1588414782,15958652328578.42,248.0
628555,1588415837,15958652328578.42,1055.0
628556,1588416671,15958652328578.42,834.0
628557,1588417320,15958652328578.42,649.0
628558,1588419598,15958652328578.42,2278.0
628559,1588420184,15958652328578.42,586.0
628560,1588421202,15958652328578.42,1018.0
628561,1588422016,15958652328578.42,814.0
628562,1588422181,15958652328578.42,165.0
628563,1588422911,15958652328578.42,730.0
628564,1588423141,15958652328578.42,230.0
628565,1588423872,15958652328578.42,731.0
628566,1588424199,15958652328578.42,327.0
628567,1588424653,15958652328578.42,454.0
628568,1588425199,15958652328578.42,546.0
628569,1588425587,15958652328578.42,388.0
628570,1588426507,15958652328578.42,920.0
628571,1588426670,15958652328578.42,163.0
628572,1588426859,15958652328578.42,189.0
628573,1588427091,15958652328578.42,232.0
628574,1588429391,15958652328578.42,2300.0
628575,1588429707,15958652328578.42,316.0
628576,1588429862,15958652328578.42,155.0
628577,1588429963,15958652328578.42,101.0
628578,1588430488,15958652328578.42,525.0
628579,1588430887,15958652328578.42,399.0
628580,1588431189,15958652328578.42,302.0
628581,1588431223,15958652328578.42,34.0
628582,1588431285,15958652328578.42,62.0
628583,1588431482,15958652328578.42,197.0
628584,1588432033,15958652328578.42,551.0
628585,1588432142,15958652328578.42,109.0
628586,1588432651,15958652328578.42,509.0
